d	M1,6	M2	M2,5	M3	M3,5	M4	M5	M6	M7	M8	M10	M12	M14	M16	M18	M20	M22	M24	M27	M30	M33	M36	M39	M42	M45	M48	M52
2	0.089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0.099	0.216	0.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0.109	0.231	0.38	0.462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0.119	0.246	0.41	0.505	0.81	1.29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0.129	0.261	0.44	0.548	0.87	1.37	2.17	3.44	5.43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	0.149	0.291	0.5	0.634	0.99	1.53	2.41	3.78	5.93	8.02	14.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	0.169	0.321	0.56	0.72	1.11	1.69	2.65	4.12	6.43	8.66	15.4	22.5	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	0.189	0.351	0.62	0.806	1.23	1.85	2.89	4.46	6.93	9.3	16.4	23.9	36	51.5	0	0	0	0	0	0	0	0	0	0	0	0	0
14	0.209	0.381	0.68	0.892	1.35	2.01	3.13	4.8	7.43	9.94	17.4	25.3	38	54.1	0	0	0	0	0	0	0	0	0	0	0	0	0
16	0.229	0.411	0.74	0.978	1.47	2.17	3.37	5.14	7.93	10.6	18.4	26.7	40	56.7	78.1	102	141	166	235	0	0	0	0	0	0	0	0
18	0	0.441	0.8	1.06	1.59	2.33	3.61	5.48	8.43	11.2	19.4	28.1	42	59.3	81.3	106	146	172	243	0	0	0	0	0	0	0	0
20	0	0.471	0.86	1.15	1.71	2.49	3.85	5.82	8.93	11.3	20.4	29.5	44	61.9	84.5	110	151	178	251	0	0	0	0	0	0	0	0
22	0	0	0.92	1.23	1.83	2.65	4.09	6.16	9.43	12.5	21.4	30.9	46	64.5	87.7	114	156	184	259	0	0	0	0	0	0	0	0
